x1,x2,x3,x4,x5,x6,y
93.18,21391758,7980207,6661555,0.373050546,0,288972
115.6,24927434,8779835,7839516,0.352215756,0,350495
114.13,28416511,9554676,8803979,0.336236774,0,443213
141.49,32039616,10509450,9733195,0.328014231,0,526377
180.52,37586166,13141254,11833760,0.349630074,0,581898
233.14,44505503,15941538,14030973,0.358192514,4636933,528365
268.07,51542283,18439550,16171817,0.357755787,5574275,816119
313.85,60818614,22270093,18921556,0.36617232,5907373,967265
355.91,71403223,26029310,22841850,0.364539707,6875421,1115007
389.47,82873816,29724781,27953721,0.358675182,9328615,1287226
392.82,91382135,31173422,31565720,0.341132564,11237237,1375085
553.89,107482828,36449611,38835933,0.33912032,13541607,1594182
596.94,124234390,41405926,45444614,0.333288762,15947698,1573830
582.52,135512072,42641557,51685711,0.314669803,3837376,1758311
560.89,154201434,47548175,59858717,0.308351056,4168317,2216017
