x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y
12004,18678,1330484,11152545,2959027,2878473,1881388,2470523,1820957,349730,433360
12549,19964,1436406,13767475,3555816,3250326,2199077,2561326,2081458,409725,479698
13286,21057,1568267,16320762,3870207,3316894,2719058,3403870,2399208,522331,540075
14122,23157,1603966,18895479,4263898,3457617,2690984,3733922,2659750,601220,613161
14693,23839,1718007,21627825,4194806,3522168,3005475,4785787,2818533,680647,650119
17585,27845,1939100,25453413,4770315,3712961,3384477,5459314,2636742,859141,793520
20601,30782,2012633,29787941,5080846,3777003,4088545,6331382,2835312,853315,892678
24801,33021,2145067,35118425,5567893,3783416,4767231,6870406,3069823,1020793,1027971
29200,38949,2228495,41646681,7038031,5041090,8389925,7507109,3400549,1166412,1235374
33114,42359,2553936,48903250,7634024,5398216,8431405,8754491,3920141,1516500,1279793
36983,43921,2878166,55607710,8173449,5246903,11076649,10134050,4591935,1476434,1516049
39696,47296,3573047,65574525,9836582,5727122,13991612,12805288,5927847,1694029,1777343
45448,51107,4363837,76419207,13053605,8116313,15351387,15613171,6985632,1988868,1625593
52697,58875,4564947,86167948,13704511,8626775,15796804,17417072,8086955,2332653,1747616
59142,70815,4725256,99643373,15724289,9969708,20881374,21828895,8969756,2412402,1623520
