x1,x2,x3,x4,x5,x6,x7,y
13967,19091,2239.86,24927434,10216241,1755512,2199077,185625
14694,22141,2600.43,28416511,11122943,1997579,2719058,254892
13380,25583,3132.8,32039616,12113416,2071574,2690984,159684
15003,28237,3727.33,37586166,14859261,2236902,3005475,153080
16884,31025,4256.82,44505503,17880638,2255380,3384477,167379
18287,33853,5024.69,51542283,20452183,2351538,4088545,198017
19851,36321,5562.36,60818614,24415160,2039164,4767231,231794
22469,40187,5589.51,71403223,28257805,2190420,8389925,295316
25317,45365,6867.29,82873816,32278717,2205292,8431405,353372
27610,49215,7954.22,91382135,34051588,2284029,11076649,389824
30658,54807,9069.26,107482828,40022658,2387940,13991612,472154
34438,57473,10032.62,124234390,45769763,3102356,15351387,462098
38054,63752,11310.69,135512072,47206504,3268488,15796804,439592
42049,69692,12253.98,154201434,52273431,3245858,20881374,489777
