类别,序号,R通道一阶矩,G通道一阶矩,B通道一阶矩,R通道二阶矩,G通道二阶矩,B通道二阶矩,R通道三阶矩,G通道三阶矩,B通道三阶矩
1,1,0.582822907,0.543773678,0.252828731,0.01419203,0.016143875,0.041075252,-0.012643137,-0.016090364,-0.041536239
1,10,0.641659507,0.57065724,0.213727989,0.01543884,0.011177918,0.013707795,0.009727136,-0.003723814,-0.003779448
1,11,0.603684375,0.57671893,0.282253758,0.008658572,0.007074807,0.01220364,-0.004694985,-0.00257089,-0.009450531
1,12,0.589705738,0.59374302,0.252242475,0.007908293,0.005940868,0.010568364,0.0033034,-0.003416659,-0.005273416
1,13,0.591096221,0.592093047,0.253594899,0.007448469,0.006494667,0.012151602,0.000496116,-0.002235644,-0.005095575
1,14,0.588680079,0.569633888,0.318905298,0.00752769,0.005046087,0.008386259,-0.003529253,0.001746734,-0.005790924
1,15,0.588492862,0.573200244,0.288403482,0.00730554,0.005103212,0.01168218,0.003054735,-0.000970745,0.008593961
1,16,0.618122791,0.539779453,0.274866555,0.008525613,0.006198468,0.014824628,-0.002575195,0.003627499,0.014224197
1,17,0.618459936,0.539302375,0.273901252,0.008856051,0.005895283,0.014474313,0.003110136,0.00343197,0.014804346
1,18,0.664159031,0.576430223,0.29408228,0.010958406,0.007767222,0.019056594,-0.005178429,0.004119251,0.012535404
1,19,0.700703699,0.601434308,0.293267673,0.008397839,0.007157567,0.013220593,0.002303993,0.001872696,0.005392328
1,2,0.563773256,0.534851062,0.271671559,0.009723383,0.007856393,0.011873289,-0.005129687,0.003031937,-0.005469752
1,20,0.621951712,0.548451805,0.266309916,0.010082493,0.005803256,0.011888772,-0.002335454,-0.002661969,-0.009021775
1,21,0.611728954,0.528409556,0.238518715,0.009791912,0.006804303,0.014620198,0.005853284,0.004100835,0.007801122
1,22,0.624195629,0.568279926,0.322870307,0.008116749,0.004635266,0.010955118,-0.006570476,-0.001210394,-0.007105396
1,23,0.692683339,0.664455042,0.279794176,0.008884132,0.005682682,0.011976042,0.00401281,-0.001881162,-0.006362591
1,24,0.567813613,0.585407044,0.251614701,0.00780476,0.006037519,0.012720533,-0.003434374,-0.002585714,0.0054227
1,25,0.549883422,0.583301906,0.294743114,0.007412482,0.005286935,0.012042102,0.002737452,-0.001935983,0.006671324
1,26,0.56274183,0.564715878,0.288780608,0.006997799,0.005067823,0.011984218,0.004631176,0.002622777,-0.002566614
1,27,0.663539714,0.623293756,0.211756248,0.007987901,0.005835253,0.01361464,-0.004666453,-0.002221755,-0.008417243
1,28,0.668541915,0.62022024,0.22188559,0.007265334,0.006330682,0.010687742,-0.004022906,-0.003437095,0.004175919
1,29,0.577056075,0.53938003,0.281207725,0.020311584,0.015022262,0.012230144,0.009822402,-0.005112163,0.006681031
1,3,0.630328053,0.594268536,0.298577417,0.007730979,0.00587734,0.01014829,0.003447375,-0.003451414,-0.006528096
1,30,0.639464412,0.595075454,0.240151004,0.011428324,0.008781154,0.015075975,-0.003983494,-0.003103438,-0.003993519
1,31,0.55784035,0.535227419,0.265775174,0.013240379,0.0086978,0.014258376,-0.008330015,-0.006387519,-0.009035914
1,32,0.620828408,0.592502465,0.220175262,0.014568033,0.010934848,0.010109187,0.00259608,-0.003491818,0.006791667
1,33,0.613658792,0.583041647,0.224204471,0.013923691,0.010942556,0.010806703,0.004477681,0.005140587,0.002728305
1,34,0.603469095,0.607893882,0.254027383,0.010827851,0.006683538,0.010370164,-0.007594223,-0.003357207,0.002708288
1,35,0.603319936,0.602263907,0.238728614,0.009967603,0.006597839,0.010840544,-0.005680503,-0.00290401,-0.00549283
1,36,0.634279607,0.557472451,0.181759958,0.007524938,0.00589837,0.010192843,-0.002209226,0.002462507,-0.004226595
1,37,0.574874051,0.5618488,0.256533097,0.007708219,0.004825448,0.01098618,-0.002442424,0.002611723,0.005168691
1,38,0.641579545,0.619802749,0.333154958,0.008288946,0.005427761,0.008761489,-0.004375367,-0.003101834,0.006184007
1,39,0.556375673,0.57549529,0.285102383,0.007268055,0.00509395,0.009856786,-0.002590167,-0.002777961,0.006997789
1,4,0.638605596,0.619260319,0.319711447,0.008124872,0.006044854,0.009746309,-0.004874416,0.003083476,-0.00449866
1,40,0.585554665,0.565562008,0.255924544,0.007921985,0.005304003,0.01058632,-0.004083311,0.002132888,0.00532096
1,41,0.582092874,0.571473385,0.280303161,0.006899205,0.00494658,0.01011564,-0.00402317,-0.00237222,0.005693898
1,42,0.60649648,0.546209041,0.29714311,0.009078317,0.006645643,0.009607282,-0.004520128,-0.003496186,-0.006597635
1,43,0.60649648,0.546209041,0.29714311,0.009078317,0.006645643,0.009607282,-0.004520128,-0.003496186,-0.006597635
1,44,0.607896189,0.572312595,0.257510317,0.008357922,0.006559411,0.010473768,0.002674937,-0.003038468,0.001535535
1,45,0.591862005,0.535118625,0.264706459,0.008810429,0.006294332,0.010239124,-0.004637355,-0.002495954,0.008113142
1,46,0.607741648,0.549252188,0.269572956,0.008395809,0.006243506,0.009366123,-0.002652206,-0.002183033,-0.005813939
1,47,0.599162712,0.575508745,0.253377697,0.008632005,0.005440597,0.01077332,0.003241162,-0.001698174,0.005322676
1,48,0.64020444,0.623063867,0.296739074,0.008250393,0.005372406,0.016386858,0.00367861,0.00228518,0.007798421
1,49,0.644749938,0.623320282,0.284817136,0.009566674,0.006000184,0.010940387,0.00639255,0.002846729,0.006319294
1,5,0.598017111,0.518233699,0.278718542,0.010502792,0.007486316,0.010562933,0.002584757,-0.003496407,-0.006343458
1,50,0.599176551,0.562002187,0.26791145,0.008588868,0.005528259,0.011690224,0.003922302,-0.002513688,-0.004904005
1,51,0.561361727,0.575937,0.236777248,0.009617202,0.006844331,0.011122879,0.004297986,0.003081549,-0.004364872
